"Name","POS","AGE","YRS","DOLLARS","YEAR","G","R","HR","RBI","BB","SB","HITS","AS"
"Asdrubal Cabrera","3B","28","1","7500000","2014","423","210","44","193","136","28","406","1"
"Jarrod Dyson","OF","33","2","7500000","2017","294","133","8","73","68","84","220","0"
"Brett Gardner","OF","35","1","7500000","2018","437","271","40","149","207","55","425","0"
"Jonathan Schoop","2B","27","1","7500000","2018","453","235","78","248","75","3","456","1"
"Carlos Pena","1B","32","1","7250000","2011","423","227","95","264","275","10","313","1"
"Chris Young","OF","29","1","7250000","2013","357","171","46","152","152","40","276","0"
"Miguel Olivo","C","31","2","7000000","2010","305","135","49","164","53","19","281","0"
"Mike Napoli","1B","34","1","7000000","2015","386","174","58","197","208","7","323","0"
"Chase Utley","2B","37","1","7000000","2015","393","184","37","186","130","22","373","1"
"Howie Kendrick","2B","34","2","7000000","2017","354","169","26","135","99","28","357","0"
"Martin Maldonado","C","33","2","7000000","2019","359","128","35","109","63","0","250","0"
"Jason Castro","C","32","1","6850000","2019","205","92","24","80","87","0","150","0"
"Jamey Carroll","3B","37","2","6750000","2011","362","153","2","66","134","26","320","0"
"Miguel Tejada","2B","35","1","6500000","2010","470","246","42","223","73","14","549","2"
"Jonathan Lucroy","C","31","1","6500000","2017","367","163","37","164","129","7","353","1"
"Logan Morrison","1B","30","1","6500000","2017","396","167","69","182","165","14","313","0"
"Mike Moustakas","1B","29","1","6500000","2017","321","160","67","180","86","1","332","2"
"Steve Pearce","1B","35","1","6500000","2018","251","108","37","114","90","0","216","0"
"Ramon Hernandez","C","34","2","6400000","2011","268","83","24","121","85","1","251","0"
"Yorvit Torrealba","C","31","2","6250000","2010","226","77","15","99","66","8","208","0"
"Nick Hundley","C","30","2","6250000","2014","253","67","22","88","51","2","172","0"
"Jeff Mathis","C","35","2","6250000","2018","169","40","5","46","38","1","109","0"
"Wilmer Flores","1B","28","2","6250000","2019","321","116","38","140","61","1","278","0"
"Cesar Hernandez","2B","29","1","6250000","2019","450","253","38","165","201","43","474","0"
"Howie Kendrick","2B","36","1","6250000","2019","252","118","30","115","54","15","257","0"
"David Ross","C","34","2","6200000","2012","155","47","17","74","54","1","120","0"
"C.J. Cron","1B","30","1","6100000","2019","364","158","71","208","88","4","327","0"
"Jonathan Schoop","2B","28","1","6100000","2019","412","214","76","225","74","3","403","1"
"Jerry Hairston Jr.","3B","34","2","6000000","2011","359","158","25","120","96","19","292","0"
"Luke Scott","1B","32","1","6000000","2011","322","155","61","171","138","3","289","0"
"Mark Reynolds","1B","28","1","6000000","2012","435","228","92","240","231","14","318","0"
"Corey Hart","1B","30","1","6000000","2013","279","171","56","146","95","12","292","0"
"Michael Morse","1B","30","1","6000000","2013","335","160","62","184","73","2","343","0"
